id,text,label
96,get your ass back to detroit ya fuckin wigger,1
97,girls that i dated its okay i aint mad yo unless you stabbed me in the heart no love hoe,1
98,he a bitch for hitting that hoe,1
99,he wanna be my nigga but im just trinna be his savings account   omg imma funny ass bitch man but thats real shit,1
100,her great grandmas a hoeher grandmas a hoeher moms and a hoe and shes a hoe its a long line of hoes grandpa carl everyone,1
101,how about we draft all those gungho folks and send them to afghanistan or other war zones so they can show their,2
102,how hotter than is it a bitch,1
103,i call him my bitch,1
104,i cant handle no liquor but these bitches cant handle meeedd  chief sosa,1
105,"i taught myself how to eat pussy and cut my own hair
i taught myself how to eat pussy hair
name the movie",1
106,im sick of his shit man  sit his bitch ass im fed up bro rt  geno threw yet another pick smh,1
107,im sorry i fucked yo bitch but she really dig a nigga,1
108,ibs irritable bitch syndrome,1
109,its never too late to tag a bitch,1
110,its the dykes hunter dyke with a dyke,1
111,julia roberts youre a ho,1
112,lmfaoooooooooooooooooo  if your pussy is good but my mama dont like you guess who gotta gomy mama,1
113,lets do nips ahoy and spank me maybe,1
114,lmao   rt  pound cake look like pussy,1
115,my momma told me to tell you to mind yoooo damn motha fuckin business you  not knowin what it is bitch,1
116,"pistol whip my dickau shoot yo bitch club up

sometimes freestyles be freestyles and im okay with that",1
117,shake that bear  aka two rednecks having sex on a dead bear,1
118,shall i compare thee to a summers day no a summers day is not a bitch,1
119,"slow the fuck down bitch i know where you live

classy young lady",1
120,these hoes keep callin but i aint pickin up,1
121,they have some ghetto ass bands  gets snuck,1
122,they have to that division is trash  saints gon win the nfc southwatch,2
123,those ratchet broads dont represent me but your white ass cant talk trash about them cause you on racist shit black,1
124,virgin pussy     regular pussy      oomf pussy _________________________,1
125,walked in that bitch like nigga we made it,1
126,well bitch biology said,1
127,what i do  gotta report you as spam rt  ladies rt if your head game better than your pussy,1
128,when im done with a hoe i pass her to the squad g,1
129,why would you want pussy on your side burns thats a good question  hahahahaha,1
130,yah has said in his word that the mtzraymegyptians are his people and ysrahal is his inheritance and the kushiteethiopians,2
131,yo feet smell like my puss  whut  like flowers bitch  omg,1
132,you aint gunna do shit spear chucker,1
133,you dont like us colored folks what the hell youre not colored you white fucks,0
134,you hit no lights no line for toco bell at  in he morning and dianas back in her house its a miracle  charlie,2
135,"youre fucked up 
no shit you dumb ass cunt now go post pictures if your flat ass titties on ig slut",1
136,captain save a hoe is the most annoying phrase,1
137,dont let your side bitch settle in i might have to headbutt you evelyn,1
138,dont show me no bitch unless she look like dolly parton,1
139,if she can suck your dick with a dip in shes not only a keeper but a true redneck woman  kims dad,1
140,its britney bitch  the bible leviticus,1
141,poor whitey,2
142,youre being a cunt right now,1
143,needy hoes ratchet hoes sideline hoes beggin hoes dumb hoes looking for love on facebook hoes,1
144,fa blowin my tl up like a bitches spare tire leavin dairy queen,1
145,how pussy feels,1
146,is that all pussy bitch,1
147,gets a million retweets but  cant even get a bitch to text him back,1
148,arent you embarrassed that charlie rangel remains in your caucus,2
149,ap calls mass governor race for charlie baker watch live coverage on wcvb streaming online,2
150,amos  there are those who hate the one who upholds justice in court and detest the one who tells the truth,2
151,that whip cracker,1
152,there are easier way to get pussy wout sacrificing your man hoodbest of all they dont include losing ur self respect,1
153,great and i thought the panic from bird flu was bad i really aint got time for that,2
154,is a great metaphor for how   policies eat off of vital organs until the host dies,2
155,rt  kanye is best when a good piece of pussy fucks him over,1
156,is trending why cus french montanas bitch ass you fucks that think selling drugs is cool are the lamest posers,1
157,"isaiah mom asked me if i wanted a brownie i said no thanks 
she said what are fasting",2
158,ratchet hoes,1
159,straight nation  soccer champions wow,2
160,centuries fob,2
161,my little brother and i hate to admit it but  and he knows why but hes still a lil bitch though fuck you,1
162,covington reads responses  mocks fbi andy on real politics liv on her awakening gretchen,2
163,charlie lapdance,2
164,to my  niccas,1
165,is full of white trash,0
166,son of a bitch moment when you turn the radio on and your favorite song is on but its the end of the song,1
167,give her all da dick u gotta half stroke da pussy bc if u dump dick on dat bitch she gon become extremely anoyin,1
168,i made out with  bitches,1
169,let him play the entire inning thats fitting,2
170,mccarthy outduels keuchel in series finale,2
171,if royals have a fire sale i want the whole team leave gardner and tanaka the rest can please go along with joe and cash,2
172,primo just got home and the tanks are on mlb finally and they are winning even better time to get serious sept call up time,2
173,take all three games in motown im callin it,2
174,bitches,1
175,snappy pappy and his bitch x good thing sable paintbrushes,1
176,still hanging in  we need this win nfl its not sunday,2
177,,2
178,browngal,2
179,blonde tranny ass fucked,1
180,up  another pussy close up,1
181,amateur pussy player milf close up,1
182,cumshot on beauty pussy closeup,1
183,paki,2
184,erotic and wild tits and pussy fucking,1
185,blonde tranny whore gets rammed and facialized,1
186,dude fists his wifes big pussy,1
187,year old hairy pussy cumming on fingers,1
188,hairy pussy,1
189,candid pussy shots from a hidden c,1
190,pretty young japanese girls hot cunt fucked  c,1
191,old bitch pleases hotlooking young stud,1
192,small tits ghetto whore fucking with not her stepdad,1
193,if you a hoe an try to get serious with someone dont expect to be anything more then a piece of meat to them,1
194,when i took my likkle monkey jimmys,2
195,state like mississippi opposed to minimum wage child labor laws unions is proscab sweatshop work  pretty much,2
196,loving the show this morning chris is directing the conversation beautifully make the teabaggers talk,2
197,bitch,1
198,if u a real bitch,1
199,rt  killer line  josh smith dropped a killer trash talk line on kenneth,2
200,plus sheryl crow,2
201,never been a coon grew up with bokoo coons tho but never was  i did some coon shit tho,1
202,rt  id rather be called nigger than a uncle tom or a mark,0
203,congrats youve turned a hoe into a housewife dont get shitty when your guys start singing they hit it first,1
204,"rt  omg lil b followed me yassss 

bitch he follow everybody shut yo ass up",1
205,bruh these hoes gotta be stupid,1
206,yall have boring sex nope i lick the side of my bitch face when im hittin it from the back,1
207,of course cooders nudes are trash she lives in the dmv what did you expect,2
208,maaaaannnn i hope so rt   did we get rid of john legend looking charlie batch,2
209,rt  when a dyke get pregnant by mistake,1
210,i just said that rt  my tl gotta chill with this pretty face challenge foolishness yall hoes agg,1
211,i hate you rt  cyrus ho is a rookie slut getting the cash after the date nope nope nope,1
212,rt  when youre trying to relax but your pussy is shooting out light beams,1
213,rt  mexican bitches shaped like silly puddy,1
214,rt  you a hoe if ya grandma got a tattoo,1
215,rt  them st  charlotte goon niccas gon fkkk around and burn bank of america stadium down,1
216,my nerves are being worked cos of my monkey,2
217,i hate ya bitch ass,1
218,monkey mad,2
219,rt  welp rt  the prettier bitch usually loses lol this is science,1
220,rt  niggaz get free pussy off of bounce beats alone,1
221,rt  brees been trash since this,2
222,rt  at work imma real uncle tom,2
223,rt  nope thts not wht it says here rt  im not a hoe im a people person,1
224,can yall females let this sink in for min moment of silence to get yall bitches thinking right,1
225,rt  yall excited about that strip mall being built in louisiana and claiborne that bitch gone be in fiya,1
226,when people refer to their girlfriend as their bitch   i know how it sounds but its how we mean it lol,1
227,woaaaahh that coat though lolnigga too warm in that hoe,1
228,watch prust tries to hit hank during break play   pussy attempt by a pussy,1
229,some of yall hoes nasty yall find out yall sharing or shared dick with a dirty ass female and still fuck the nigga,1
230,say something is the one drake song i have to listen to when im in my feelingsfag,1
231,i cant stop being a lil bitch,1
232,im a mud shark because i have black friends makes perfect sense,2
233,smdh eagles fans you a bitch rt  hey giants fans victor cruz is over dance to that hey watch it,1
234,cause i look great bitch fuck you mean,1
235,so they really deleted flappy bird from the app store cus someone killed themselves over it  foreal foreal,2
236,jose ur mean  i said ily stfu hoe,1
237,if u ask me every bitch gayor bi,1
238,police just tried to rodney king a niggahappen to my nig out here,1
239,these hoes gon come  go i feel it,1
240,sum wrong with the pussy sweetssmh,1
241,lmao rt  tempted to send this  fuckin hoe lmao,1
242,i wanna go to this lil shit tonightbut the way how bitches faces be set up i be wantin to slap em when i see them,1
243,bitch what u gone say bitch for were on the phone bitch cuz to the let these mfs know,1
244,"you boney little hoe  smile for the day 

this is funny",1
245,stupid bitch,1
246,its brandon motherfucking reason hes a bitch nigga,1
247,if a bitch tweet i lose interest fast slide in her dms cause she a thot good looks,1
248,i know i must make a lot of yall hoes sick  all i can tell you hoes get used to it bitch,1
249,im just a bitch for no reason i think im funny sometimes,1
250,one of your side chicks came up k them bitches know where i live i be hiding from my cuz,1
251,youre right ill take girl on the right over kim any day  u support that hoe,1
252,if you have a different dude every other week you might be a hoe no your not dont listen to him ladies,1
253,lmfaoooo bitch dont start okay bitch,1
254,helloooo bitch bitch no ones available,1
255,we agree do you  fuck yes i do send those illegal wetbacks home,1
256,oreo cookies,2
257,if you aint got shit goin for ya self what bitch gone want you,1
258,"im afraid of commitment 
a hoe",1
259,what will the lakers be after kobe trash,2
260,buddy drug the whole train lmao good  extra ass hoes hate them ny hoesme too,1
261,im on my yu shit using linkedin at work b lmfaoo bagging them linkiden hoes lol,1
262,"islamic state suspects in indonesia are chinese uighurs 
uighur jihadis theyre not just a prc tool",2
263,im fucking tired ending the night with some rips so much for hitting me up bitch,1
264,if yo pussy stank  u wasnt raised correctlylmao,1
265,tea bag a bitch pahahaha,1
266,bitch in the middle look like a daddy long leg,1
267,oh my dogs pussy is so tight time to loosen it,1
268,rt  when you go down to eat the pussy and it smells tangy,1
269,"shit where you from

baltimore man them hoes fine  crazy",1
270,name something trash cavs,2
271,cant a bitch living say i brought her michael kors we need more guys like you,1
272,i hope my future wife who ever she might be is sleeping or studying instead if being a hoe right now nigga shutcho asss up,1
273,they be hating on my girl tho but they wish they was the bitch they hating this song go,1
274,oreos are basically dirt circles with cream true,2
275,where am i on this rating scale depends you still wearing them colored contacts or naw,2
276,bruh rt  trent took the yellow path,2
277,good pussy have a nigga like  funniest thing ive ever seen on my tl,1
278,these bitches bound to get hurt cause a lotta these niggas be playinhell yeah,1
279,lol what else do we have in common nigga hate sleeping in the heat summer is for the birds,1
280,when twitter rappers dm me their trash links,2
281,y though  really hoe really u the dummy taking a pic,1
282,you can be a hoe without having sex ask any of the girls texting alotta niggas at the same time,1
283,"pretty boy face

awee thanks faggot",0
284,mo bitch the special ed darlene from backatown  gn,1
285,i fucked up in the th gradeyeah bitch you wants to fight me with yo dawg ass,1
286,i dont een tryna be disrespectful when i say bitch its just a term like bruh or son,1
287,it aint bundles soooo nopeit is bitch she happy hosting,1
288,dont say shit else  just stfu bitch we can do a lot more off this twitter shit you can come see me,1
289,you little stupid ass bitch i aint fuckin with you,1
290,lmao   aero sound young af talking bout hoes n weed n shit  brah you gotta listen to this shit,1
291,dudes shaving without it being for an athletic purpose is gay af youre retarded,1
292,or hes eating it cuz hes with a women who just cant cook then u gotta get rid of that hoe,1
293,negro you wear a size im in a im at a  now still growing,1
294,whats good familyin the gym looking at hoes hit u later,1
295,birthday weekend starts today shut yo hoe ass up,1
296,in the mall with yo bitch and yo money im getting me somethin,1
297,im jakes bitch,1
298,you can be seminoles but not redskins kseminole tribe got an agreement with themfsu pay them to use the name,2
299,who that pussy wet for,1
300,you dammn weed potheads are annoying af on twitter weed and pot are the same thing faggot,0
301,im dreaming   ewwwwbitch you must be fucked up,1
302,niggas want a good girl but still wanna fuck with hoes but that aint gone work gotta pick one boy stfu,1
303,splash onna bitch wednesday tomorrow,1
304,smh bitches are such haters  how dare they do this to her    yooo loool,1
305,on my way to fuck ur bitch,1
306,when the pussy stank,1
307,remember this bro    dont show people this,1
308,"are a whole lot better when youre driving a vehicle 

that white pussy uhhh get ya",1
309,spitting on people just shows you werent raised right in another words its a bitch nigga trait,1
310,a relationship is only made for two but some bitches dont know how to countamen to that,1
311,aint nothing better in life than meeting a hoe with a full time jobdont let her have her own benefits nigga what,1
312,lol haha hahahahahahahahahaahah deez nuts bitch,1
313,hate driving in the rain _ you can drive deez nuts in your botch mouth hoe,1
314,your opinion is irrelevant because youre a cunt,1
315,when you see the bitch that been talking smack about you in the playground,1
316,i got money  guns  gold  bitches nd stacks nigga fuck this net beef have my shooters get at niggas a bring dat friday den,1
317,if a bitch comes for me i hope she bout all that slick shit she yapping about  thuggin,1
318,im finna eat some pussy lmao,1
319,when girls take my snap backs and beanies lol thats  dollars a hat and  for the ax beanies i dont let them take it,2
320,niggas want pussy i aint giving any out here is where lies our dilemma thats cool,1
321,you lucky ashit if you got the shawty you want   a niggah just tryna keep her,1
322,you fck like a hoe so no thank you  ima be classy when i do it   bitch im dead,1
323,jealous bitches be like   dont subtweet me hoe,1
324,nawwww if you a hoe you sittin on the floor and not my damn couuuuuch but your birthday is in feb or naa nope,1
325,nigel you dont think he knows what he did was dumb how smart are you shut your bitch ass up,1
326,ladies if a nigga always wanna go out and party every weekend  he basically side hoe shopping,1
327,"food  pussy 

but pussy  food 

so food  pussy",1
328,miss you  pussy,1
329,hoes be like omg i love my new comb   thought this was perro,1
330,kanye might be the first nigga to successfully save a hoelol this a original  tweet,1
331,you just ugly af stick to one rt  this new avi trash or nah,2
332,fk it im never wearing my headband again either but you dont hoop like a lil bitch tho,1
333,ion care about none of these bitches,1
334,fuck a  dats my bitch  not my crush,1
335,how is this trash,2
336,all i wanna do is go workout then come back home and lay in bed jerk off kill two birds with one stone,1
337,i just made that interview my bitch finessed it huh lol,1
338,single af we dont care youre ugly anyways  me pussy,1
339,when you try to smash but that pussy stank,1
340,shut up faggotset himself up,0
341,my sister shittin on you hos once again  wodeh bout dat action,1
342,this bitch lying to me messy yess,1
343,kyrie fast than a bitch with the ball look like you out there lollol i wish,1
344,happy birthday little bitch bofl this made me laugh when i read it,1
345,where the bitches at   yeah where they at  i dont know they probably at that party,1
346,i be laughing when my ex be tryna stunt bitch you forgot i went with you i know what you got  dont got,1
347,happy new year  check yo clock hun we got another hour lolthey just did the lil count down thing,2
348,bitch gotta work all hard to clean that shit without ripping her skin lmaosjdusubejs,1
349,niggas is hoes man i swear,1
350,dis hoe bri will fuck up a wet dream pop up in the dream like,1
351,shawty wanna charge for pussy but im like whoa now turnt her on to cash she use to fuck for free,1
352,i want some pussy,1
353,he did go in i was actually surprised he when that hard rt  n the crib listen  my nig geazydont diss my homie,1
354,you aint special niglet rt  when im chilling wit greg ppl walk up to me to ask me to take picshatin,1
355,sydneys my favorite shes a nigger but i love her,0
356,you still fucn ya exna that bitch corny,1
357,where the fuck is your top lip  in my pussy,1
358,cigarettes are so gross half the bitches that smoke cigarettes,1
359,i need to find is both a damn job   needs to find a bitch a jobright,1
360,i dont trust girls cant trust these hoes,1
361,bitch im back at home now,1
362,they played a great job whos the retard now,1
363,stop being such a bitch,1
364,my daughter makes me with i wasnt a hoe from age  u on a roll tonight,1
365,rt  hate when a chick say go deeper when u already dishin out all u got,1
366,no one wants an ugly nigga so youve got him all to yourself no more stressing over hoes  lies,1
367,"no need to thank me killing niggers is its own reward 

dis my pal from our graduation when we was",0
368,i want my ears to look like this   i just want this bitches earrings lol,1
369,i used to be that fat bitch everybody made fun of look at me now i was made fun of for being ugly,1
370,if pussy is just pussy to you you a nasty ass nigga hope you get aids  bit harsh rethink that statement,1
371,haha bitch,1
372,"need to get laid  
sike im celibate

bitches be like",1
373,boot up  for u hoe niggas so girls that take bc are hoes,1
374,rico full of shytfull of money hoe,1
375,men are the biggest hoes lmao,1
376,bangthats a trust worthy bitch,1
377,its cute af bitch i believe u its jus getting pass trusting u wit a needle to someone head,1
378,all people ever do on twitter is bitch get a mother fuckin diary,1
379,grown mature pretty etc all that goes out the window when a bitch play with me,1
380,a girl whos a hoe on twitter,1
381,how do you have a beautiful female and still find a way to fuck w ratchet hoes i dont get it,1
382,lol the bitch not respondinglol its cool imma get one i jus trusted that more,1
383,im trynna find a bitch with a fat ass,1
384,shorty name is  masika and yall surprised she a hoe,1
385,yo mama was confused when she had u lol  these hoes aint got no manners,1
386,i got  felony i got bitches,1
387,dat bird bitchheavy birdcage bitch byyyyyyrrrrrrrrrrrrr bitch,1
388,i cant talk right now i got pussy on my tongue,1
389,shitty pussy,1
390,for the light weights pussies,1
391,charlie strong will have texas back as a power better power of big  is anybodys now,2
392,that  god by drake is so trash dawg thank you ass water,1
393,show a lotta love to my sisters tho but these bitches so predictable im in trouble,1
394,"on the east coast theres colored hair everywhere 

this must be the sweetest wave ever",2
395,cool story bitch now pass the blunt  bitch,1
396,traded in my nikes for a new mic i guess its safe to say he sold soles for his new life  bada,2
397,best asian massage on the brooklyn park slope top rated spa,2
398,best asian massage on the brooklyn park slope top rated spa,2
399,grand opening   top class  oriental massage  perfect,2
400,mfw some rachet ass hoe drops some scripture or religious stuff on social media,1
401,nudes are trash,2
402,all jokes aside  im goin thru it a niggah heart hurt smh,1
403,baby moanin got me zonenn  i want this bitch next too me pussy like ecstasy,1
404,broke tf outta this niggah at   he stopped playen defense and all,1
405,happy birthday to my main niggah right here  we been at it for a minute same dreams of bein rich and we,1
406,i guess a niggah just believe in ya thats proof for ya  can name a lot of things any other man wont do for ya,1
407,i know i know i know  them streets they fuck with me strong  and them bitches gon fuck just because money,1
408,i really dont give a fuck  once you start that  you got hoes  you fuck with bitches  shit im deleting yo,1
409,i thinkkk shee knows  about  maaaa otheeeeeeeer bitch,1
410,id rather sit at the house all day and jack off then bust a mission to literally only chill with a bitch,1
411,if you get yo girl took dont be mad at the niggah who did it  be mad at her  cause he dont owe you loyalty  she does,1
412,lemme find out you didnt answer my call cause you otp with that niggah,1
413,nah i aint no hoe niggah  no bitch niggah  rich niggah with the shits niggah getchu chipped niggah,1
414,niggahs stay thinkin i want they girl  not nevvvvva niggah,1
415,on twitter say she ridin for a niggah   thats why i really fuck with her  she down to pull the trigger,1
416,she herd i was a dope boy  i herd she was a gold digger   all i know is she a real bitch  so i fuck her like a real niggah,1
417,she love it when i talk to her crazy  suck a niggah dick  with a whole lotta spit  let it drip  yea catch,1
418,with my bestf shyanna pen and ma main niggah ronnie a jackson iii  movie bound after we pick up the homies,1
419,you tall tree ass females be  talkin bout  catching feelings   bitch you need to catch this touchdown,1
420,does backflip thissssssss rt  you niggas switch up your opinions like faggots,1
421,gigantic rt  what a big faggot rt  chubbs bout to earl,0
422,teachers call you a pussy for not doing senior skip day,1
423,bitch breathes me could you not,1
424,karate rt  karrenchi still a bird ass bitch,1
425,me gusta typing like a retard to make the other person look dumber by pretending to agree with them bazinga,1
426,is now tweeting from a tabletballer bitch,1
427,youre white arent you rolls eyes rt   rip to my nigga trayvon a worthless spear chucker,1
428,loves austin  webber such a boon for,2
429,try visiting  at night for a real spook,2
430,more game of k then im finish my new book  john grisham cold then a hoe,1
431,slapahoe,1
432,"pretty close   trash ass nigga
  quote this and ill guess your body count",1
433,mile dead zone radius around phillygotta go to ny or dc rt  the tri state needs better bitches,1
434,mil rt  and its cause of romo bitch ass dez  witten not eating,1
435,oz arizonas trash,2
436,did twitter ever get you pussydick,1
437,yr scrap from out here might get life in prison for murderin a norte nigga by el pollo loco off of story rd,1
438,wayhustle come get signed bitch we self paid,1
439,beer queer,0
440,hoes  dyke,1
441,thangs my bitch cant say im broke n ha period late,1
442,seniors were chill as fuck this years seniors are basic ass bitches,1
443,"things i cant stand while dealing with a bitch 

a hit feet
b stank ass breath
c skank ass ways",1
444,moke up,2
445,th and long bitches,1
446,white men in pick up trucks screaming nigger and my coach got the nerve to get mad i missed the free throw,0
447,sos is trash,2
448,am whizzing crackers my cats got into the   are now playing hockey with them lol,2
449,am  bout to match up wit dis nicca,1
450,needs to hurry up  its chilly in this bitch,1
451,of the girls u went to hs with look horrible now but dont wanna believe itim bout to piss them facebook hoes off with this,1
452,percent yo bitch with me  percent that scrap with me,1
453,of niggas goofy and act like bitches,1
454,i got a missed call from yo bitch,1
455,at some point we need to discuss how delicious the vegan brownie from  on u st tastes,2
456,bitch you gross as fuck touchin them saggy titties,1
457,hard to qa time is also a pain to mock out in unit tests,2
458,bitches will be bitches,1
459,fuc her and her pussy nasty,1
460,and he whips mommy with the belt they have not arrested this black womans real nigger yet she got what she wanted death,0
461,he aint a real nigger oh my bad a real nigga but praise the sonsof satan for having not a realnigger qualitaties im hating,1
462,pussy,1
463,little bitch your ass is getting tased when i get home,1
464,bc shes a cunt hoe bag,1
465,go be cunt somewhere else,1
466,fag rhymes with gag,1
467,u said  me hoe  so i did,1
468,hoes,1
469,if she do then she gone die too i aint playin dawg bitches gone be ruthless then i will be too,1
470,push me on the wall slowly take my panties down and write alphabet with ur tongue on my tight pussy,1
471,its time amend th amendment it was written to protect newly freed ex slaves its lived its purpose time to end anchor baby loophole,2
472,beautiful bride tell erica congrats if she remembers a nig,1
473,shut up bitch,1
474,crusty hoe,1
475,bitches tryna take all my money g,1
476,ive seen a number of bitches on here say theres no such thing as loose pussy lol ok,1
477,imma bitch i know  leave me alone,1
478,but i live in the south lot more here my pop lives in rhode island hardly no niggers there,0
479,so basically you like the background music fag,1
480,them hoes was trash,1
481,haha says the little bitch who let someone take his phone a real man wouldnt have let that happen a little bitch would,1
482,i hate that nigger,0
483,bitch would rather fuck a poster damn thats cold,1
484,lol that hoe did numbers,1
485,congrats amos,2
486,homo ass crackers,0
487,thats a nice color combo too love the blue and yellow,2
488,for some spook shit,1
489,fight me  on  ur choice of game faggot see what happens,0
490,she was the principle for a ghetto elementary school i doubt it but fingers crossed,2
491,bitch foh,1
492,what smdh another bitch,1
493,guys not supposed to get their ass sucked queer,1
494,bitch you up and joined the fucking army and those of us around this bitch was like where the fuck rob go to the fuckin army,1
495,and on that note im out dis bitch,1
496,nah im forreal both of yall pussies smell like some dried up crusty fish guts,1
497,ape fuck u broke ass racist,0
498,its a mutation genealogy is convoluted basically the zebra gene currieries are slaughteredextinction,2
499,i miss you eating as we speak i miss you red bone and that cooking,2
500,bitch add me,1
501,youre our bitch though,1
502,cause youre a sexy bitch,1
503,bitch where you been,1
504,yours a dyke,1
505,quit bein a little bitch b,1
506,l voted and supported u and u pulled the rug out from under us a nation and worse cuz were not in your circle were trash,2
507,oh really and thats word where u be at then i wanna see what bout then i dont wanna hear what u gonna do i want see it bitch,1
508,dear daily mail you misogynist pile of twats,1
509,nigga said i woke up in a bed fulla bitches that i aint een fuckin but idc his shit bout to be x harder,1
510,dumb bitch stfu,1
511,and just what is that bitch gonna do for women,1
512,alas i am proficient in neither my skills are limited to pointless stat memorization  trash talk,2
513,youd like that wouldnt you fag,1
514,he looks like a fag and his time line is boring zzzzzz,1
515,she prolly got some bomb pussy too lol i hope haha,1
516,she gone eat that bitch,1
517,send all the fucking muzzies home now doj come and get me motherfuckers,1
518,well thats some cracker jack secret service work there jfk anyone,1
519,youre killin me man  not all conservatives are racists just like not all nbp hate honkies,0
520,the jacob and joshua picks have been very similar as the love for faggot ruslan as well,0
521,he promised to stand with the muzzies so,2
522,pearl jam yellow ledbetter,2
